ID,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,adopter,tenure,good_country
55,18,1,1,18,1,1,0,31207,0,0,0,3,0,17,0
56,32,1,10,29.33333333,0.5,5,0,98797,6,0,1,3,0,42,1
57,21,0,4,22.66666667,0.25,1,0,10232,8,0,0,18,0,65,0
58,21,1,4,21.66666667,0.75,1,0,223,2,0,0,9,0,62,1
59,22,1,16,21.53333333,0.285714286,2,0,11843,5,8,1,7,0,58,0
60,23,1,4,23.5,0.666666667,1,0,18072,0,0,0,1,0,38,0
61,16,0,1,16,0,1,0,474,2,0,1,1,0,46,0
62,30,0,2,19,1,1,0,1144,146,0,1,1,0,35,0
63,24,1,9,22,0.875,2,0,1426,0,0,1,14,0,55,0
64,16,0,8,22.2,0.5,4,0,5243,0,0,1,4,0,53,0
65,25,0,1,29,1,1,0,110,6,0,1,1,0,44,0
66,23,0,11,28.2,0.545454546,4,0,3540,4,3,1,53,0,56,0
67,21,1,49,23.17073171,0.681818182,9,0,45919,51,927,1,791,0,67,0
68,19,0,2,22,1,1,0,4063,31,0,0,2,0,9,1
69,26,1,1,24,1,1,0,13122,0,0,1,3,0,66,0
70,21,1,19,20.66666667,0.631578947,1,0,26757,91,0,1,8,0,38,1
71,35,1,32,22.32,0.964285714,3,2,14509,6,0,0,7,0,47,1
72,24,1,14,25,0.571428571,6,0,132852,6,24,1,20,0,42,0
73,21,1,10,23.2,0.6,1,0,18983,0,0,1,0,0,62,0
74,24,1,13,23.6,0.416666667,4,0,35602,115,0,1,8,0,61,1
75,20,1,30,22,0.8,8,1,103827,147,0,0,25,0,63,0
76,25,1,22,22.57142857,0.3,12,2,0,0,0,2,3,0,22,1
77,24,1,5,24.33333333,1,2,0,18187,5,0,1,2,0,45,1
78,52,1,2,18,1,1,0,9554,466,0,1,5,0,24,1
79,22,0,8,22,0.6,2,0,8211,8,0,0,1,0,15,1
80,21,1,5,20.25,0,1,0,28250,67,0,1,7,0,58,1
81,24,1,2,24,1,1,0,18831,13,0,0,1,0,44,1
82,16,1,3,18,1,1,0,6688,0,0,0,5,0,8,1
83,36,1,40,25.48,0.294117647,18,2,34774,590,0,0,9,0,39,0
84,27,1,8,24.75,0.75,3,0,55700,56,1,0,6,0,38,0
85,21,1,22,21.4,0.761904762,1,0,20759,3,2,1,17,0,60,0
86,30,1,3,27.5,1,1,0,1141,17,0,1,1,0,47,1
87,34,1,6,30,0.8,3,1,3287,109,14,0,5,0,27,1
88,20,1,14,20.09090909,0.583333333,9,0,88536,1,0,14,24,0,40,1
89,28,1,281,26.46889952,0.331967213,29,4,74720,15,9,1,227,0,67,0
90,23,0,5,26.25,0.8,2,0,4402,26,0,0,6,0,42,1
91,24,1,11,25.57142857,0.333333333,5,0,47564,2,0,0,3,0,8,0
92,21,1,2,32,1,1,0,10765,1,0,1,1,0,50,0
93,20,1,27,19.68181818,0.541666667,2,0,44724,79,0,0,2,0,41,0
94,17,1,1,24,1,1,0,0,2,0,1,1,0,21,0
95,21,1,9,21.25,0.875,1,0,3523,1,0,1,2,0,48,0
96,25,1,19,24.44444444,0.75,11,2,10070,14,2,0,8,0,38,0
97,20,1,5,23,1,3,0,23604,31,0,0,3,0,17,0
98,38,1,7,39.33333333,1,2,0,75967,298,6,1,18,0,68,1
99,21,0,7,22.28571429,0.857142857,1,0,346,0,0,1,11,0,47,1
100,30,1,12,27.5,0.6,1,0,14658,0,0,0,0,0,78,0
101,29,0,11,28.5,0.818181818,2,0,5710,2,0,0,1,0,70,0
102,41,1,2,43,0,2,0,9281,6,0,0,1,0,70,1
103,46,1,4,21.66666667,1,2,0,3853,19,7,1,1,0,50,1
104,17,1,79,19.93846154,0.756756757,28,1,12341,2131,146,0,332,0,7,0
105,21,1,4,19,1,4,0,334,8,0,1,1,0,29,0
106,35,1,4,22,0,3,0,5907,110,0,0,4,0,41,0
107,21,1,12,23.88888889,0.181818182,3,0,7517,0,0,1,89,0,42,0
108,20,0,27,19.32,0.36,2,0,18495,157,0,0,340,0,25,0
109,26,1,32,25.47619048,0.52173913,2,0,94230,23,20,2,53,0,69,1
110,19,1,24,17.63636364,0.681818182,5,0,32828,373,0,0,14,0,21,0
111,37,1,4,41.33333333,1,3,0,178,0,1,0,5,0,57,1
112,23,0,6,25,1,3,0,1557,0,0,1,14,0,39,1
113,24,1,109,23.74666667,0.684210526,13,3,41012,32,9,1,143,0,68,1
114,23,1,22,24.78571429,0.882352941,7,5,23408,95,0,0,34,0,39,1
115,30,1,8,32.5,1,4,0,3636,20,0,1,1,0,102,1
116,21,1,12,20.5,0.545454546,4,0,62848,46,0,0,1,0,62,0
117,42,1,8,39.2,0.5,1,0,1627,57,0,1,5,0,58,1
118,24,0,38,25.69444444,0.810810811,9,1,15549,2,1,0,84,0,59,0
119,21,1,2,21,1,1,0,3781,0,0,0,2,0,17,1
120,16,1,6,18.66666667,0.5,1,0,14615,69,0,0,9,0,22,1
121,27,1,56,28.35135135,0.534883721,7,3,9620,15,6,0,43,0,66,1
122,28,1,2,25,1,1,0,13238,1,1,1,1,0,66,1
123,20,1,15,22.2,0.615384615,5,0,6378,52,0,0,0,0,26,1
124,25,1,6,25.83333333,0.666666667,2,0,11764,0,0,0,5,0,59,1
125,25,1,2,24,0.5,2,0,32070,30,0,1,5,0,60,1
126,24,1,56,25.25531915,0.5,13,2,28446,41,356,1,165,0,70,1
127,24,1,59,21.625,0.725490196,6,2,52098,159,17,1,150,0,54,1
128,20,1,1,28,1,1,0,93,10,0,0,0,0,51,1
129,21,1,11,21.11111111,0.777777778,5,0,33574,28,0,1,17,0,64,0
130,15,1,3,31.66666667,0.333333333,2,1,64,2,0,0,2,0,42,1
131,17,1,6,20,1,2,0,5131,4,0,3,2,0,6,1
132,21,1,12,20.90909091,0.545454546,1,1,5870,2,0,1,27,0,49,0
133,21,0,38,22.15384615,0.6,13,0,13300,43,0,0,19,0,50,0
134,24,1,4,22.33333333,0.75,1,0,9366,28,3,1,2,0,62,0
135,37,1,8,33,0.833333333,3,0,560,0,0,0,8,0,45,0
136,18,0,34,19.7037037,0.428571429,2,1,68259,148,0,0,197,0,55,1
137,20,1,16,21.45454546,0.5,4,1,83923,30,0,0,13,0,40,1
138,33,1,3,32.5,1,1,0,129247,0,0,0,0,0,70,1
139,26,1,18,22.86666667,0.4375,3,1,683,0,2,0,1,0,89,1
140,42,1,168,32.2962963,0.673611111,18,9,37589,111,58,2,140,0,83,1
141,25,1,1,29,1,1,0,0,0,0,0,1,0,4,0
142,27,0,1,28,1,1,0,0,0,0,0,3,0,48,0
143,28,1,4,29.5,0.333333333,1,0,12439,0,1,0,27,0,68,0
144,28,0,1,30,0,1,0,0,0,0,1,2,0,56,1
145,29,0,3,31,1,1,0,151,3,0,0,2,0,64,0
146,21,0,6,21.25,0.25,2,0,1056,10,0,0,2,0,11,0
147,22,0,19,22.30769231,0.666666667,1,0,32545,1,0,1,0,0,59,0
148,19,0,19,20.375,0.588235294,2,0,12189,120,6,0,19,0,44,0
149,27,1,5,23.5,0.6,2,0,76950,348,3,0,7,0,65,0
150,20,0,7,21,0.285714286,1,0,4361,0,0,0,10,0,63,0
151,18,0,4,29.33333333,0.666666667,1,0,2494,171,0,0,17,0,25,0
152,31,1,44,25.1875,0.4375,7,0,18362,7,6,1,16,0,50,0
153,26,0,9,25.66666667,0.75,1,0,7866,30,0,1,20,0,45,0
154,25,1,16,24,0.8,4,2,47541,0,3,0,28,0,60,0
155,22,1,47,21.02564103,0.133333333,7,1,107623,242,0,0,24,0,43,1
156,19,1,3,18,0.333333333,1,0,776,1,0,0,0,0,11,0
157,14,0,6,18,0.4,4,0,785,11,0,0,32,0,24,0
158,18,0,21,18.70588235,0.411764706,10,1,11953,69,72,0,139,0,40,0
159,25,1,18,25.69230769,0.75,4,0,17492,0,5,2,13,0,68,1
160,26,0,6,29.4,0.5,3,0,46994,55,0,0,0,0,58,1
161,28,0,24,27.47368421,0.666666667,6,2,16562,116,2,1,13,0,41,1
162,21,1,3,23,0.666666667,1,0,5757,1,0,1,2,0,57,0
163,22,0,1,29,1,1,0,5722,4,0,1,1,0,52,0
164,27,1,48,23.225,0.441860465,10,0,27839,102,0,0,20,0,67,1
165,21,0,7,22,0.571428571,3,0,3205,24,0,0,13,0,29,0
166,18,0,41,19.5945946,0.666666667,15,0,32,11,0,1,1,0,29,0
167,26,1,5,26,1,2,0,5343,32,2,1,2,0,54,0
168,20,0,12,21.9,0.666666667,3,0,7155,5,0,0,8,0,59,0
169,22,1,48,23.22580645,0.707317073,6,1,34021,1,29,1,305,0,62,1
170,19,1,4,23.66666667,1,2,0,1153,13,0,0,5,0,31,1
171,20,1,3,20,0.666666667,3,0,38234,0,1,1,18,0,62,1
172,19,1,1,20,1,1,0,48,0,0,0,6,0,58,1
173,20,1,12,21.27272727,0.666666667,2,0,11318,16,8,0,14,0,33,0
174,19,1,6,20.75,1,1,1,26419,22,0,0,14,0,35,0
175,41,1,3,25,0.5,3,0,4101,3,0,1,3,0,36,1
176,18,1,3,22.33333333,0.333333333,3,0,5380,572,0,1,1,0,45,1
177,21,1,19,24.375,0.941176471,1,0,34303,9,107,1,25,0,65,1
178,28,1,1,28,0,1,0,5311,145,5,0,25,0,19,1
179,32,1,1,30,1,1,0,753,0,0,0,0,0,70,1
180,21,1,1,19,0,1,0,9,0,0,0,2,0,37,1
181,23,1,27,24.8125,0.761904762,10,3,40705,653,0,0,4,0,23,0
182,27,0,18,28.07692308,0.428571429,3,1,7068,46,0,1,2,0,44,0
183,35,1,8,28.75,0,1,0,29452,57,0,0,2,0,44,0
184,20,1,9,19.22222222,0.555555556,1,0,66217,7,131,1,54,0,52,0
185,19,1,23,18.2631579,0.409090909,3,0,20935,33,0,0,10,0,13,0
186,42,1,1,40,1,1,1,312,29,0,1,1,0,35,0
187,19,1,8,19,0.714285714,2,0,9338,7,0,0,12,0,33,0
188,25,1,4,25.75,0.25,1,0,354,0,0,1,1,0,47,0
189,23,1,5,22.5,1,2,0,7323,358,0,0,2,0,52,0
190,28,1,2,22,1,2,0,852,3,0,0,2,0,34,0
191,17,1,91,17.89230769,0.329268293,23,0,39496,229,1,0,166,0,20,0
192,24,1,32,27.17391304,0.8,12,1,60278,1,0,1,17,0,63,1
193,21,1,2,22.5,1,1,0,441,3,0,0,1,0,15,0
194,21,1,43,23.75862069,0.266666667,9,0,35438,20,0,1,109,0,63,0
195,23,1,19,26.76470588,0.888888889,2,1,37266,132,1,1,61,0,66,0
196,26,1,4,24.66666667,1,2,0,46349,0,0,0,2,0,32,0
197,21,1,6,20.83333333,1,1,0,6140,14,0,1,6,0,39,0
198,26,1,3,28,0.5,1,0,11628,25,0,1,2,0,81,0
199,26,1,1,25,1,1,0,2199,3,0,1,2,0,43,0
200,15,1,19,20.33333333,0.647058824,7,0,7179,21,5,0,33,0,39,0
201,22,1,34,22.44827586,0.548387097,3,0,10464,60,33,0,130,0,71,0
202,20,1,7,19.8,0.333333333,3,0,28603,50,0,0,0,0,29,1
203,23,1,21,23.07142857,0.714285714,1,0,25433,74,0,0,7,0,33,0
204,22,1,86,22.38888889,0.594936709,12,0,113859,38,122,0,1102,0,68,0
205,36,1,53,27.16216216,0.755555556,18,2,90906,1007,41,1,422,0,57,0
206,18,1,34,20.89655172,0.516129032,11,0,39067,603,21,1,114,0,40,0
207,25,1,25,24.61538462,0.588235294,2,1,31807,292,0,1,15,0,63,0
208,22,1,26,20.83333333,0.8,2,0,39818,0,0,0,9,0,62,1
209,22,1,21,25.44444444,0.714285714,8,0,56160,0,0,0,16,0,55,0
210,21,1,14,21.25,0.230769231,3,0,11956,115,1,1,62,0,22,0
211,20,1,14,18.92307692,0.785714286,2,0,56365,0,0,0,5,0,20,0
212,24,1,18,24.41176471,0.555555556,4,0,18148,0,0,1,9,0,70,1
213,24,1,1,24,1,1,0,10825,0,0,1,2,0,51,0
214,28,1,9,25.375,0.714285714,7,0,1880,141,0,4,1,0,31,1
215,26,1,1,28,0,1,0,181,1,1,0,0,0,66,1
216,22,1,27,21.90909091,0.761904762,7,1,35885,38,0,1,5,0,44,1
217,20,1,44,22.5483871,0.41025641,6,0,36493,5,1,1,21,0,72,1
218,26,1,1,26,1,1,0,12062,3,0,1,0,0,56,0
219,25,1,6,24.75,0.25,1,0,12626,777,0,0,9,0,35,0
220,23,1,1,26,1,1,0,0,0,0,0,1,0,51,0
221,20,1,11,20.28571429,0.857142857,1,0,31762,0,0,0,4,0,23,1
222,19,1,1,17,0,0,0,0,0,0,0,1,0,6,1
223,25,1,13,23.41666667,0.461538462,2,0,13653,0,0,0,0,0,44,1
224,23,1,2,23,1,1,0,3058,0,0,0,1,0,62,1
225,17,0,1,19,1,1,0,0,0,0,0,3,0,38,0
226,25,1,3,23.33333333,0.333333333,1,0,4277,16,0,1,0,0,69,0
227,51,1,57,47.31818182,0.722222222,11,9,538,307,1,5,95,0,40,1
228,46,1,12,37.28571429,0.888888889,5,0,226475,910,0,1,2,0,46,1
229,23,1,3,28,1,1,0,22588,0,0,0,4,0,38,0
230,21,1,3,21,0.666666667,1,0,33218,27,0,0,1,0,22,1
231,28,1,1,26,0,1,0,987,16,0,1,1,0,56,1
232,16,1,128,20.33653846,0.847457627,22,0,86947,324,1,0,8,0,21,0
233,22,1,5,21.8,0.6,1,0,4492,227,0,0,6,0,41,0
234,19,1,29,19.05,0.72,8,0,23521,582,0,1,62,0,44,0
235,20,0,51,25.45833333,0.673913044,19,1,29844,4,1,0,73,0,53,0
236,16,0,11,17.44444444,0.7,5,0,1081,19,0,0,2,0,22,1
237,14,1,18,17.84615385,1,6,1,105559,146,0,0,521,0,21,1
238,16,1,4,18,1,2,0,4937,22,0,0,0,0,30,0
239,27,1,20,33.30769231,0.733333333,4,0,15072,1,0,1,1,0,88,0
240,43,1,2,27,0,1,0,414,8,0,1,0,0,48,0
241,26,1,8,24.83333333,0.375,2,0,13581,350,0,1,8,0,50,1
242,22,1,36,21.46153846,0.633333333,3,0,68149,0,19,0,206,0,59,0
243,18,1,9,18.57142857,0.285714286,1,1,3514,8,0,1,40,0,15,0
244,17,1,3,17.66666667,0.666666667,1,0,12153,0,0,1,2,0,19,1
245,23,1,7,23.6,0.5,1,0,24585,217,5,1,15,0,61,1
246,21,1,22,21.52380952,0.476190476,3,2,22396,19,0,2,44,0,46,0
247,32,1,16,29.83333333,0.857142857,7,3,14221,748,0,0,8,0,31,0
248,29,1,1,28,1,1,0,21,1,0,0,2,0,20,1
249,16,1,20,17,0.6875,2,0,20105,31,1,0,124,0,25,0
250,20,1,3,18.5,0,2,0,2937,469,0,1,7,0,49,0
251,36,1,3,24.5,0,3,1,0,0,0,0,1,0,24,1
252,34,1,3,32.33333333,1,1,0,28284,3,1,0,4,0,73,0
253,21,1,14,19.83333333,0.785714286,4,0,36372,27,0,1,7,0,57,0
254,27,1,1,27,1,1,0,2726,0,0,0,0,0,70,0
255,20,1,18,20.45454546,0.857142857,2,0,9485,75,0,1,12,0,34,0
256,24,1,17,24.53846154,0.933333333,1,1,51625,314,0,0,20,0,71,1
257,20,1,1,21,0,1,0,780,8,0,0,1,0,6,1
258,32,1,1,30,0,1,0,22206,18,0,1,1,0,28,0
259,38,1,1,51,0,1,0,1842,7,0,1,1,0,36,0
260,20,1,4,20.5,1,1,0,23333,83,0,0,0,0,20,0
261,40,1,9,36.8,0.857142857,4,1,17150,12,0,1,2,0,53,1
262,24,1,2,23,0,1,1,1335,0,0,1,0,0,20,1
263,25,0,2,20,0.5,2,0,0,2,0,0,1,0,24,0
264,25,1,4,25,0.666666667,1,1,5107,39,0,0,2,0,59,0
265,36,1,3,32.5,1,1,0,4926,1,0,1,1,0,47,0
266,41,1,1,29,0,1,0,0,0,0,0,1,0,42,0
267,19,1,4,21.5,1,1,0,3212,93,0,0,0,0,67,1
268,25,1,7,26.5,1,2,0,15971,99,0,0,8,0,39,0
269,25,0,7,25.33333333,1,2,0,284,14,0,2,3,0,48,1
270,22,0,44,24.62068966,0.815789474,21,1,75504,118,327,1,113,0,57,0
271,22,0,2,21,0,1,0,438,0,0,0,3,0,62,0
272,20,1,27,22.21052632,0.84,10,0,130875,83,31,1,34,0,54,0
273,27,1,14,23.77777778,0.4,3,0,44738,25,3,1,56,0,61,0
274,20,0,25,20.85714286,0.727272727,2,0,2045,22,0,0,8,0,37,0
275,19,1,2,20.5,0.5,1,0,230,19,0,2,2,0,25,0
276,16,1,6,21.2,1,4,0,3309,11,0,0,2,0,14,0
277,24,1,2,26,1,1,0,1094,0,0,1,1,0,43,0
278,43,1,4,32.33333333,1,1,1,2148,0,0,1,8,0,38,0
279,24,1,10,24.5,0.5,2,0,59304,0,0,0,11,0,45,1
280,19,1,12,24.11111111,0.7,1,1,16619,0,2,0,21,0,58,0
281,18,1,12,20.375,0.454545455,1,0,1088,1,0,1,0,0,50,0
282,21,1,1,21,1,1,0,141,0,0,1,1,0,49,0
283,24,1,2,24.5,1,1,1,1467,1,0,1,1,0,33,0
284,34,1,2,35,1,1,0,2040,0,0,0,2,0,54,0
285,29,1,14,32.85714286,0.75,6,0,15049,40,0,1,10,0,61,0
286,22,1,3,19.5,0.5,1,0,2105,42,0,0,0,0,21,0
287,27,1,18,26.75,0.333333333,1,0,12202,32,0,0,0,0,77,1
288,43,1,2,47,0.5,1,0,751,100,0,4,1,0,37,1
289,23,1,25,22.30434783,0.72,2,1,19003,74,1,1,77,0,66,1
290,22,0,1,30,1,1,0,155,0,0,1,3,0,57,0
291,22,0,4,22.33333333,1,1,0,727,0,0,1,5,0,50,0
292,18,0,1,20,1,1,0,12269,106,0,1,40,0,20,0
293,19,1,14,18.75,0.888888889,1,0,5718,14,0,0,2,0,32,0
294,22,1,7,23.75,0.833333333,3,1,90453,56,0,1,4,0,31,1
295,17,0,38,21.03333333,0.578947368,7,0,27511,94,0,0,119,0,42,1
296,15,1,1,20,1,1,0,368,0,0,0,2,0,23,0
297,38,1,2,34,1,1,0,761,0,0,0,2,0,39,0
298,22,0,39,23.40625,0.75,11,0,8612,10,0,0,39,0,45,0
299,24,1,47,20.63636364,0.136363636,7,0,20104,0,0,1,0,0,52,0
300,20,0,11,21,0.625,3,0,24819,57,1,0,6,0,57,0
301,18,0,12,20.81818182,0.909090909,1,0,23129,33,0,0,6,0,36,0
302,27,1,8,25,0.285714286,3,1,2334,4,0,0,0,0,19,0
303,20,1,9,19.33333333,0.857142857,1,0,32904,0,0,1,3,0,56,1
304,24,0,1,23,0,1,0,1797,0,0,0,0,0,71,0
305,31,1,1,27,1,1,0,1095,1,0,1,1,0,62,0
306,22,1,26,22.63157895,0.863636364,11,0,20858,2431,0,11,12,0,51,0
307,31,0,22,32.42857143,0.8,6,1,18240,0,0,1,43,0,50,1
308,24,0,4,24,0.333333333,1,0,6589,13,0,1,1,0,67,0
309,31,1,35,28.40909091,0.586206897,2,1,32652,200,2,0,20,0,73,1
310,23,1,6,22.66666667,0.5,2,0,4081,8,0,1,3,0,33,1
311,23,1,4,24,1,1,0,13784,57,0,1,7,0,41,0
312,18,1,3,20.33333333,0.666666667,3,0,13280,49,0,1,1,0,23,0
313,54,1,9,49,1,3,3,197,12,0,1,7,0,18,0
314,33,1,5,33,0.25,2,0,20155,16,0,0,1,0,81,0
315,22,1,12,20.71428571,0.7,3,0,36239,60,0,1,1,0,53,0
316,20,0,6,38,0.75,3,1,31988,96,1,1,50,0,45,0
317,20,0,3,19.33333333,0,2,0,307,1,0,0,11,0,26,0
318,21,1,64,20.12244898,0.62,9,1,114873,469,19,2,263,0,49,0
319,25,1,1,25,0,1,0,4057,0,1,0,0,0,65,0
320,39,0,2,37,1,2,1,213,81,0,1,1,0,19,1
321,21,1,4,26,1,3,0,10091,41,9,1,7,0,65,0
322,32,1,1,22,0,1,0,1710,102,0,1,2,0,39,1
323,28,1,9,25.625,0.777777778,4,0,36630,0,4,0,72,0,56,1
324,35,0,3,39,0.5,1,0,5477,102,0,1,5,0,45,1
325,22,0,7,23.75,1,2,0,9140,19,0,0,2,0,23,1
326,18,0,84,21.38028169,0.901234568,7,3,39328,83,0,0,101,0,31,1
327,35,1,1,29,1,1,0,2434,57,0,1,2,0,37,0
328,28,0,15,25.18181818,0.642857143,3,0,852,3,0,2,11,0,39,0
329,44,1,5,28,1,4,0,2196,53,0,1,9,0,14,0
330,20,1,38,21.19354839,0.527777778,3,0,11022,102,0,1,8,0,34,0
331,22,1,7,21,0.285714286,1,0,336,0,2,1,6,0,56,1
332,28,1,17,23.27272727,0.416666667,2,0,4806,3,0,1,5,0,43,0
333,27,0,23,27,0.761904762,2,1,25895,98,0,1,20,0,49,0
334,19,0,3,21.33333333,1,2,0,928,0,0,2,4,0,41,1
335,48,1,1,28,1,1,0,4001,0,0,0,1,0,14,1
336,21,1,6,22,0.8,2,0,1248,49,0,0,7,0,11,0
337,25,0,16,25,0.6,4,0,4994,4,0,0,15,0,79,0
338,22,0,12,21.85714286,0.4,3,0,74720,129,0,0,14,0,71,0
339,47,1,2,45,0.5,1,1,9721,3,0,0,0,0,65,1
340,33,1,38,28.17857143,0.625,23,2,34807,0,16,0,29,0,41,0
341,24,1,2,22.5,0.5,1,0,214,1,0,1,4,0,32,0
342,38,1,5,33.66666667,0.666666667,1,0,6648,0,1,1,1,0,56,0
343,25,1,11,21.25,0.75,2,0,6434,0,0,1,2,0,39,0
344,24,1,1,27,1,1,0,0,0,0,0,1,0,13,0
345,18,1,38,19.48387097,0.617647059,6,0,24320,399,1,0,175,0,22,0
346,20,1,8,19.6,0.625,3,0,29728,253,0,0,6,0,31,0
347,29,0,127,30.6091954,0.693069307,4,4,11182,306,14,1,203,0,71,0
348,19,0,11,21.375,0.5,3,0,6766,154,0,0,54,0,51,0
349,24,1,3,22,0.333333333,3,0,5021,2,0,0,0,0,49,0
350,25,1,44,26.03333333,0.743589744,7,2,7815,96,1,1,16,0,62,0
351,23,1,8,26.5,0.666666667,2,0,6841,0,0,0,7,0,82,0
352,26,1,4,26.5,0.5,1,0,3809,0,1,0,1,0,84,1
353,21,1,39,22.20833333,0.580645161,9,1,13873,296,0,0,30,0,39,1
354,22,0,42,20.74193548,0.441176471,6,0,16875,117,0,0,46,0,69,1
355,23,0,16,24.14285714,0.846153846,3,0,34723,40,0,0,49,0,17,0
356,21,0,2,23,1,1,0,2227,0,0,0,0,0,67,1
357,25,1,2,27,1,2,1,347,0,0,1,1,0,45,0
358,23,0,47,24.64516129,0.58974359,17,2,39617,257,0,1,20,0,31,0
359,26,1,1,29,1,1,0,177,0,0,1,1,0,12,0
360,25,1,5,25,0.5,1,0,711,0,0,0,1,0,47,0
361,25,1,6,25.16666667,1,1,0,56150,6,0,0,3,0,60,0
362,29,1,1,29,0,1,0,307,15,0,1,1,0,55,0
363,19,1,2,19,1,1,0,2843,10,0,0,1,0,16,0
364,25,0,79,29.72,0.822580645,19,6,21657,155,1,7,81,0,45,1
365,21,1,24,20.61111111,0.411764706,4,0,59886,266,0,1,33,0,61,0
366,16,0,29,20.72,0.592592593,16,1,15723,31,0,1,37,0,34,0
367,34,1,2,31.5,1,1,0,20555,6,0,0,1,0,45,1
368,28,1,3,25,0.5,1,0,3,0,0,0,2,0,22,0
369,26,0,30,30.5,0.777777778,9,1,72357,56,1,1,78,0,58,1
370,19,0,9,19.2,0.25,3,0,38785,91,0,0,22,0,50,0
371,32,0,18,28.42857143,0.888888889,4,0,31830,88,0,0,6,0,36,0
372,20,1,11,22.71428571,0.375,6,2,5650,58,0,7,4,0,24,1
373,19,0,2,19,0.5,2,0,3736,0,0,0,1,0,36,1
374,17,1,1,16,1,1,0,401,3,0,0,1,0,12,0
375,18,1,2,19.5,1,1,0,1924,34,0,0,1,0,25,0
376,21,0,1,24,1,1,0,4889,215,0,1,2,0,53,0
